"","attractor","state","IFNG_e","GMCSF_e","IL1B_e","IC_e","LPS_e","NECA_e","EGFR_e","IL4_e","IL6_e","IL10_e","STAT1","STAT5","IL1R","IL12_out","FCGR","NFKB","VEGF_out","TLR4","IL6_out","KLF4","STAT6","IL10_out","SOCS1","PPARG","STAT3_IL6","STAT3_IL10","SOCS3","IL6R","IL10R","cell.type"
"2423",1704,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"M0__/NoLabel/M0__"
"2424",1704,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"M0__/NoLabel/M0__"
"2473",1721,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__"
"2474",1721,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"M0__/NoLabel/M0__"
"2475",1721,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"M0__/NoLabel/M0__"
"2476",1722,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__"
"2477",1722,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"M0__/NoLabel/M0__"
"2478",1722,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"M0__/NoLabel/M0__"
"2491",1727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__"
"2492",1727,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"M0__/NoLabel/M0__"
"2493",1727,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"M0__/NoLabel/M0__"
"2494",1728,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__"
"2495",1728,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"M0__/NoLabel/M0__"
"2496",1728,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"M0__/NoLabel/M0__"
"6361",2401,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6362",2401,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6363",2401,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6364",2401,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6365",2401,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6366",2401,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6367",2402,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6368",2402,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6369",2402,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6370",2402,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6371",2402,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"6372",2402,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8869",2819,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8870",2819,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8871",2819,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8872",2819,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8873",2819,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8874",2819,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8875",2820,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8876",2820,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8877",2820,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8878",2820,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8879",2820,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"8880",2820,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"M0__/NoLabel/M0__/NoLabel/NoLabel/NoLabel"
"9",9,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M1__"
"10",10,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M1__"
